frame,image_path,track_id,xtl,ytl,xbr,ybr,label,dressCodeStyle,gender,Distracted,location,fashionPersonality,judgmentCalls,age,weight,disability,Crossed,relativePosition
28,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00028.jpg,0,1271.12,761.17,1381.32,951.52,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
29,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00029.jpg,0,1283.96,761.7,1394.16,952.06,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
30,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00030.jpg,0,1296.8,762.24,1407.01,952.6,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
31,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00031.jpg,0,1309.65,762.78,1419.85,953.14,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
32,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00032.jpg,0,1322.49,763.32,1432.69,953.68,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
33,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00033.jpg,0,1335.33,763.86,1445.53,954.22,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
34,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00034.jpg,0,1348.17,764.4,1458.37,954.76,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
35,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00035.jpg,0,1361.01,764.94,1471.21,955.3,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
36,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00036.jpg,0,1373.85,765.48,1484.06,955.84,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
37,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00037.jpg,0,1386.7,766.02,1496.9,956.38,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
38,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00038.jpg,0,1399.54,766.56,1509.74,956.92,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
39,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00039.jpg,0,1412.38,767.1,1522.58,957.46,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
40,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00040.jpg,0,1425.22,767.64,1535.42,958.0,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
41,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00041.jpg,0,1438.06,768.18,1548.26,958.54,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
42,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00042.jpg,0,1450.9,768.72,1561.11,959.08,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
43,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00043.jpg,0,1463.75,769.26,1573.95,959.62,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
44,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00044.jpg,0,1476.59,769.8,1586.79,960.16,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
45,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00045.jpg,0,1489.43,770.34,1599.63,960.7,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
46,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00046.jpg,0,1502.27,770.88,1612.47,961.24,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
47,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00047.jpg,0,1515.11,771.42,1625.31,961.78,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
48,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00048.jpg,0,1527.96,771.96,1638.16,962.32,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
49,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00049.jpg,0,1540.8,772.5,1651.0,962.86,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
50,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00050.jpg,0,1553.64,773.04,1663.84,963.39,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
51,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00051.jpg,0,1573.39,772.93,1683.59,963.29,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
52,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00052.jpg,0,1593.14,772.82,1703.34,963.18,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
53,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00053.jpg,0,1612.88,772.71,1723.08,963.07,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
54,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00054.jpg,0,1632.63,772.6,1742.83,962.96,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
55,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00055.jpg,0,1652.38,772.5,1762.58,962.86,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
56,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00056.jpg,0,1672.13,772.39,1782.33,962.75,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
57,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00057.jpg,0,1691.88,772.28,1802.08,962.64,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
58,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00058.jpg,0,1711.62,772.17,1821.83,962.53,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
59,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00059.jpg,0,1731.37,772.06,1841.57,962.42,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
60,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00060.jpg,0,1751.12,771.96,1861.32,962.32,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
61,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00061.jpg,0,1770.87,771.85,1881.07,962.21,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
141,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00141.jpg,4,739.11,769.15,810.46,880.52,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
142,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00142.jpg,4,742.8,768.77,814.36,880.69,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
143,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00143.jpg,4,746.49,768.39,818.27,880.87,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
144,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00144.jpg,4,750.19,768.01,822.17,881.04,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
145,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00145.jpg,4,753.88,767.63,826.08,881.22,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
146,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00146.jpg,4,757.57,767.25,829.98,881.39,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
147,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00147.jpg,4,761.26,766.87,833.89,881.56,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
148,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00148.jpg,4,764.96,766.49,837.79,881.74,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
149,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00149.jpg,4,768.65,766.11,841.69,881.91,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
150,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00150.jpg,4,772.34,765.73,845.6,882.09,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
151,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00151.jpg,4,776.04,765.35,849.5,882.26,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
152,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00152.jpg,4,779.73,764.97,853.41,882.44,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
153,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00153.jpg,4,783.42,764.58,857.31,882.61,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
154,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00154.jpg,4,787.11,764.2,861.22,882.78,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
155,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00155.jpg,4,790.81,763.82,865.12,882.96,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
156,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00156.jpg,4,794.5,763.44,869.02,883.13,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
157,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00157.jpg,4,796.42,763.54,871.16,883.78,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
158,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00158.jpg,4,798.35,763.63,873.3,884.43,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
159,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00159.jpg,4,800.27,763.72,875.43,885.07,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
160,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00160.jpg,4,802.2,763.81,877.57,885.72,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
161,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00161.jpg,4,804.12,763.9,879.71,886.37,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
162,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00162.jpg,4,806.05,764.0,881.84,887.02,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
163,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00163.jpg,4,807.97,764.09,883.98,887.66,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
164,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00164.jpg,4,809.9,764.18,886.12,888.31,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
165,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00165.jpg,4,811.82,764.27,888.25,888.96,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
166,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00166.jpg,4,813.75,764.37,890.39,889.6,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
167,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00167.jpg,4,815.67,764.46,892.53,890.25,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
168,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00168.jpg,4,817.6,764.55,894.66,890.9,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
169,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00169.jpg,4,819.52,764.64,896.8,891.55,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
170,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00170.jpg,4,821.45,764.74,898.93,892.19,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
171,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00171.jpg,4,823.37,764.83,901.07,892.84,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
172,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00172.jpg,4,825.3,764.92,903.21,893.49,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
173,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00173.jpg,4,827.22,765.01,905.34,894.13,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
174,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00174.jpg,4,829.15,765.1,907.48,894.78,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
175,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00175.jpg,4,831.07,765.2,909.62,895.43,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
176,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00176.jpg,4,833.0,765.29,911.75,896.08,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
177,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00177.jpg,4,834.92,765.38,913.89,896.72,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
178,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00178.jpg,4,836.85,765.47,916.03,897.37,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
179,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00179.jpg,4,838.77,765.57,918.16,898.02,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
180,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00180.jpg,4,840.7,765.66,920.3,898.66,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
181,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00181.jpg,4,842.62,765.75,922.44,899.31,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
182,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00182.jpg,4,844.55,765.84,924.57,899.96,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
183,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00183.jpg,4,846.47,765.94,926.71,900.61,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
184,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00184.jpg,4,848.4,766.03,928.85,901.25,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
185,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00185.jpg,4,850.32,766.12,930.98,901.9,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
186,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00186.jpg,4,852.25,766.21,933.12,902.55,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
187,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00187.jpg,4,854.17,766.3,935.25,903.19,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
188,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00188.jpg,4,856.1,766.4,937.39,903.84,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
189,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00189.jpg,4,858.02,766.49,939.53,904.49,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
190,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00190.jpg,4,859.95,766.58,941.66,905.14,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
191,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00191.jpg,4,861.87,766.67,943.8,905.78,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
192,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00192.jpg,4,863.8,766.77,945.94,906.43,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
193,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00193.jpg,4,865.72,766.86,948.07,907.08,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
194,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00194.jpg,4,867.65,766.95,950.21,907.72,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
195,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00195.jpg,4,869.57,767.04,952.35,908.37,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
196,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00196.jpg,4,871.5,767.13,954.48,909.02,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
197,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00197.jpg,4,873.42,767.23,956.62,909.66,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
198,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00198.jpg,4,875.35,767.32,958.76,910.31,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
199,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00199.jpg,4,877.27,767.41,960.89,910.96,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
200,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00200.jpg,4,879.2,767.5,963.03,911.61,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
201,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00201.jpg,4,878.89,766.79,962.94,911.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
202,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00202.jpg,4,878.59,766.08,962.85,911.3,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
203,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00203.jpg,4,878.29,765.37,962.76,911.14,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
204,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00204.jpg,4,877.99,764.66,962.67,910.99,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
205,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00205.jpg,4,877.69,763.95,962.58,910.83,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
206,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00206.jpg,4,877.39,763.24,962.49,910.68,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
207,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00207.jpg,4,877.08,762.53,962.4,910.52,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
208,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00208.jpg,4,876.78,761.82,962.31,910.37,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
209,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00209.jpg,4,876.48,761.11,962.22,910.21,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
210,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00210.jpg,4,876.18,760.4,962.13,910.06,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
211,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00211.jpg,4,875.88,759.69,962.04,909.9,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
212,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00212.jpg,4,875.58,758.98,961.95,909.74,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
213,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00213.jpg,4,875.27,758.27,961.86,909.59,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
